Draw Date,Mega Ball,Multiplier,N1,N2,N3,N4,N5
2024-04-16,2,4.0,21,26,36,44,59
2024-04-12,16,2.0,01,12,14,18,66
2024-04-09,25,4.0,34,43,51,52,69
2024-04-05,14,3.0,20,30,54,63,65
2024-04-02,19,3.0,10,50,56,60,66
2024-03-29,16,4.0,11,30,33,38,60
2024-03-26,4,2.0,07,11,22,29,38
2024-03-22,16,3.0,03,08,31,35,44
2024-03-19,7,2.0,24,46,49,62,66
2024-03-15,6,5.0,13,25,50,51,66
2024-03-12,24,3.0,02,16,31,57,64
2024-03-08,1,3.0,19,20,22,47,58
2024-03-05,14,2.0,02,49,50,61,70
2024-03-01,24,4.0,15,33,37,55,61
2024-02-27,4,3.0,06,18,26,27,49
2024-02-23,11,5.0,04,06,40,41,60
2024-02-20,7,2.0,05,45,55,58,68
2024-02-16,18,4.0,19,23,39,42,67
2024-02-13,20,3.0,01,03,19,25,58
2024-02-09,1,3.0,17,22,29,46,69
2024-02-06,10,4.0,02,10,31,44,57
2024-02-02,18,3.0,11,22,42,64,69
2024-01-30,11,4.0,03,05,16,58,59
2024-01-26,13,3.0,14,31,34,50,61
2024-01-23,20,2.0,21,28,58,69,70
2024-01-19,17,2.0,01,09,16,17,30
2024-01-16,13,2.0,02,10,42,49,54
2024-01-12,7,3.0,19,34,35,45,67
2024-01-09,24,3.0,12,15,32,33,53
2024-01-05,25,3.0,05,23,26,38,44
2024-01-02,1,2.0,03,18,27,29,64
2023-12-29,10,3.0,11,27,30,62,70
2023-12-26,21,3.0,08,10,22,58,64
2023-12-22,4,4.0,10,26,36,54,69
2023-12-19,11,3.0,17,26,50,58,61
2023-12-15,12,2.0,10,20,28,40,54
2023-12-12,3,4.0,08,23,44,45,53
2023-12-08,13,3.0,21,26,53,66,70
2023-12-05,18,4.0,18,35,40,64,67
2023-12-01,12,4.0,12,47,49,52,65
2023-11-28,11,3.0,27,37,42,59,61
2023-11-24,1,4.0,06,15,45,59,68
2023-11-21,24,4.0,17,22,25,30,38
2023-11-17,17,3.0,06,12,31,33,69
2023-11-14,22,4.0,29,35,59,61,69
2023-11-10,8,3.0,13,33,59,68,70
2023-11-07,20,2.0,03,11,33,42,52
2023-11-03,12,4.0,15,32,38,47,65
2023-10-31,15,3.0,14,35,37,55,70
2023-10-27,6,4.0,11,32,43,57,70
2023-10-24,7,3.0,16,20,30,54,59
2023-10-20,22,4.0,07,29,36,49,61
2023-10-17,20,4.0,05,06,29,32,61
2023-10-13,18,3.0,06,18,44,46,68
2023-10-10,7,4.0,03,08,17,46,63
2023-10-06,22,3.0,12,24,46,57,66
2023-10-03,24,3.0,03,19,32,39,59
2023-09-29,11,4.0,18,40,47,55,64
2023-09-26,16,4.0,15,30,35,42,60
2023-09-22,3,2.0,10,13,14,57,66
2023-09-19,24,2.0,06,09,13,29,66
2023-09-15,25,3.0,05,13,29,50,53
2023-09-12,18,5.0,02,14,21,42,67
2023-09-08,1,3.0,03,12,17,51,62
2023-09-05,13,2.0,03,43,50,51,65
2023-09-01,8,2.0,10,31,42,43,55
2023-08-29,25,3.0,09,39,52,61,63
2023-08-25,2,2.0,12,23,26,31,38
2023-08-22,7,2.0,01,12,26,36,50
2023-08-18,11,3.0,10,20,29,44,66
